,UserId,Attraction,Rating
329,42057,Bromo Tengger Semeru National Park,5
330,78231,Bromo Tengger Semeru National Park,4
331,68765,Bromo Tengger Semeru National Park,5
332,84487,Bromo Tengger Semeru National Park,5
333,87958,Bromo Tengger Semeru National Park,5
334,12152,Bromo Tengger Semeru National Park,5
335,12317,Bromo Tengger Semeru National Park,5
336,41000,Bromo Tengger Semeru National Park,5
337,58475,Bromo Tengger Semeru National Park,5
338,59340,Bromo Tengger Semeru National Park,3
339,61947,Bromo Tengger Semeru National Park,5
340,86609,Bromo Tengger Semeru National Park,4
341,19281,Kalibiru National Park,5
342,26986,Kalibiru National Park,5
343,29437,Kalibiru National Park,4
344,46142,Kalibiru National Park,4
345,79212,Kalibiru National Park,3
346,46142,Kalibiru National Park,3
347,68350,Kalibiru National Park,5
351,38952,Kalibiru National Park,4
352,28522,Tegenungan Waterfall,1
353,83164,Tegenungan Waterfall,5
354,87556,Tegenungan Waterfall,3
355,21394,Tegenungan Waterfall,5
356,31859,Tegenungan Waterfall,5
357,36884,Tegenungan Waterfall,3
358,60974,Tegenungan Waterfall,2
359,76565,Tegenungan Waterfall,4
360,5016,Tegenungan Waterfall,4
361,10797,Tegenungan Waterfall,4
362,11659,Tegenungan Waterfall,4
363,15242,Tegenungan Waterfall,4
364,30077,Tegenungan Waterfall,4
365,41104,Tegenungan Waterfall,5
366,42656,Tegenungan Waterfall,5
367,62669,Tegenungan Waterfall,5
368,64021,Tegenungan Waterfall,5
369,69483,Tegenungan Waterfall,4
370,78554,Tegenungan Waterfall,5
371,83466,Tegenungan Waterfall,4
372,43882,Tegenungan Waterfall,5
373,46181,Tegenungan Waterfall,3
374,51874,Tegenungan Waterfall,3
375,4119,Coban Rondo Waterfall,3
376,15528,Coban Rondo Waterfall,4
377,56467,Coban Rondo Waterfall,5
378,56808,Coban Rondo Waterfall,3
379,68426,Coban Rondo Waterfall,3
380,19315,Coban Rondo Waterfall,3
381,27146,Coban Rondo Waterfall,4
382,31318,Coban Rondo Waterfall,5
383,41049,Coban Rondo Waterfall,5
384,47459,Coban Rondo Waterfall,5
385,4180,Coban Rondo Waterfall,2
386,157,Nusa Dua Beach,5
387,13085,Nusa Dua Beach,3
388,15281,Nusa Dua Beach,5
389,30420,Nusa Dua Beach,4
390,38267,Nusa Dua Beach,5
391,56311,Nusa Dua Beach,4
392,69954,Nusa Dua Beach,5
393,83065,Nusa Dua Beach,4
394,85997,Nusa Dua Beach,5
395,87556,Nusa Dua Beach,4
396,16,Nusa Dua Beach,5
398,1293,Nusa Dua Beach,4
399,1482,Nusa Dua Beach,4
400,4427,Nusa Dua Beach,4
401,12610,Nusa Dua Beach,5
402,13558,Nusa Dua Beach,5
403,13578,Nusa Dua Beach,5
404,17603,Nusa Dua Beach,4
405,19501,Nusa Dua Beach,4
406,25165,Nusa Dua Beach,4
407,26333,Nusa Dua Beach,5
408,28180,Nusa Dua Beach,2
409,31091,Nusa Dua Beach,5
410,31478,Nusa Dua Beach,4
411,32245,Nusa Dua Beach,5
413,32847,Nusa Dua Beach,5
414,33590,Nusa Dua Beach,4
415,33887,Nusa Dua Beach,5
416,35187,Nusa Dua Beach,4
417,41516,Nusa Dua Beach,5
418,43903,Nusa Dua Beach,4
419,59458,Nusa Dua Beach,5
420,62839,Nusa Dua Beach,5
421,64249,Nusa Dua Beach,5
422,66258,Nusa Dua Beach,5
423,70651,Nusa Dua Beach,4
424,71910,Nusa Dua Beach,4
425,72148,Nusa Dua Beach,5
426,74433,Nusa Dua Beach,5
427,76910,Nusa Dua Beach,5
428,80847,Nusa Dua Beach,5
429,83310,Nusa Dua Beach,5
430,87016,Nusa Dua Beach,3
431,87992,Nusa Dua Beach,5
432,11264,Nusa Dua Beach,5
433,13666,Nusa Dua Beach,4
434,13699,Nusa Dua Beach,2
435,23480,Nusa Dua Beach,5
436,26800,Nusa Dua Beach,5
437,28328,Nusa Dua Beach,4
438,38337,Nusa Dua Beach,3
439,39319,Nusa Dua Beach,5
440,59328,Nusa Dua Beach,4
441,76438,Nusa Dua Beach,4
442,83466,Nusa Dua Beach,3
443,31859,Nusa Dua Beach,5
444,15386,Nusa Dua Beach,4
446,36836,Nusa Dua Beach,5
447,59774,Nusa Dua Beach,4
448,60468,Nusa Dua Beach,4
449,1625,Kuta Beach - Bali,3
450,13264,Kuta Beach - Bali,4
451,15635,Kuta Beach - Bali,4
452,17850,Kuta Beach - Bali,4
453,25755,Kuta Beach - Bali,4
454,27556,Kuta Beach - Bali,5
455,28852,Kuta Beach - Bali,3
456,34669,Kuta Beach - Bali,5
457,34794,Kuta Beach - Bali,5
458,35883,Kuta Beach - Bali,5
459,38807,Kuta Beach - Bali,5
460,38838,Kuta Beach - Bali,4
461,55673,Kuta Beach - Bali,4
462,61166,Kuta Beach - Bali,4
463,85776,Kuta Beach - Bali,5
464,87465,Kuta Beach - Bali,3
465,2309,Kuta Beach - Bali,5
466,5960,Kuta Beach - Bali,3
467,9373,Kuta Beach - Bali,4
468,11366,Kuta Beach - Bali,4
469,16051,Kuta Beach - Bali,3
470,20472,Kuta Beach - Bali,2
472,25808,Kuta Beach - Bali,5
473,32837,Kuta Beach - Bali,3
474,37575,Kuta Beach - Bali,3
475,38327,Kuta Beach - Bali,4
476,40035,Kuta Beach - Bali,5
477,45276,Kuta Beach - Bali,4
478,45883,Kuta Beach - Bali,3
479,51035,Kuta Beach - Bali,5
480,53584,Kuta Beach - Bali,4
481,57049,Kuta Beach - Bali,5
482,58230,Kuta Beach - Bali,5
483,60265,Kuta Beach - Bali,3
484,60371,Kuta Beach - Bali,2
485,60654,Kuta Beach - Bali,2
486,61005,Kuta Beach - Bali,5
487,61694,Kuta Beach - Bali,3
488,62839,Kuta Beach - Bali,4
489,63416,Kuta Beach - Bali,5
490,67886,Kuta Beach - Bali,5
491,69507,Kuta Beach - Bali,3
492,70663,Kuta Beach - Bali,4
493,72304,Kuta Beach - Bali,4
494,73188,Kuta Beach - Bali,3
495,74545,Kuta Beach - Bali,5
496,77353,Kuta Beach - Bali,5
497,79600,Kuta Beach - Bali,4
498,84549,Kuta Beach - Bali,5
500,85778,Kuta Beach - Bali,3
501,10460,Kuta Beach - Bali,1
502,12126,Kuta Beach - Bali,4
503,17850,Kuta Beach - Bali,2
504,20018,Kuta Beach - Bali,3
505,37973,Kuta Beach - Bali,4
506,45408,Kuta Beach - Bali,4
507,50491,Kuta Beach - Bali,3
508,60873,Kuta Beach - Bali,4
509,76438,Kuta Beach - Bali,2
510,83466,Kuta Beach - Bali,3
511,87556,Kuta Beach - Bali,3
512,20618,Kuta Beach - Bali,4
513,43882,Kuta Beach - Bali,4
514,57996,Kuta Beach - Bali,4
515,60343,Kuta Beach - Bali,5
516,69266,Kuta Beach - Bali,5
517,75660,Kuta Beach - Bali,2
518,80237,Kuta Beach - Bali,4
519,21038,Kuta Beach - Bali,5
520,26533,Kuta Beach - Bali,4
521,32970,Kuta Beach - Bali,4
522,40760,Kuta Beach - Bali,3
523,60912,Kuta Beach - Bali,5
524,70787,Kuta Beach - Bali,3
525,80161,Kuta Beach - Bali,5
526,85977,Kuta Beach - Bali,5
527,4055,Sanur Beach,4
528,12126,Sanur Beach,4
529,25963,Sanur Beach,4
530,27362,Sanur Beach,3
531,30420,Sanur Beach,5
532,37919,Sanur Beach,5
534,59297,Sanur Beach,5
535,60467,Sanur Beach,3
536,60927,Sanur Beach,3
537,62775,Sanur Beach,4
538,69117,Sanur Beach,4
539,75438,Sanur Beach,2
540,77696,Sanur Beach,2
541,79212,Sanur Beach,4
542,80518,Sanur Beach,5
543,84260,Sanur Beach,4
544,4730,Sanur Beach,4
545,5016,Sanur Beach,5
546,6099,Sanur Beach,5
547,7616,Sanur Beach,5
548,15225,Sanur Beach,3
549,21579,Sanur Beach,5
550,31859,Sanur Beach,4
551,31894,Sanur Beach,4
552,35755,Sanur Beach,4
553,38016,Sanur Beach,4
554,39556,Sanur Beach,5
555,39603,Sanur Beach,5
556,43746,Sanur Beach,4
557,47630,Sanur Beach,4
558,49915,Sanur Beach,4
559,60974,Sanur Beach,5
560,66881,Sanur Beach,4
562,69402,Sanur Beach,3
563,76910,Sanur Beach,3
564,82127,Sanur Beach,4
565,84955,Sanur Beach,5
566,10692,Sanur Beach,3
568,14563,Sanur Beach,4
569,14684,Sanur Beach,4
570,18899,Sanur Beach,5
572,23260,Sanur Beach,4
573,32563,Sanur Beach,5
574,47198,Sanur Beach,5
575,56026,Sanur Beach,1
576,56026,Sanur Beach,5
577,83466,Sanur Beach,4
578,87536,Sanur Beach,4
579,10747,Sanur Beach,4
580,86398,Sanur Beach,5
581,8284,Sanur Beach,4
582,11583,Sanur Beach,5
583,19592,Sanur Beach,4
585,32620,Sanur Beach,4
586,69266,Sanur Beach,4
588,7721,Seminyak Beach,3
589,7773,Seminyak Beach,5
590,8548,Seminyak Beach,5
591,10576,Seminyak Beach,5
592,23599,Seminyak Beach,5
593,26333,Seminyak Beach,4
594,32746,Seminyak Beach,4
595,36836,Seminyak Beach,4
596,38016,Seminyak Beach,5
597,46950,Seminyak Beach,5
598,54651,Seminyak Beach,5
599,58842,Seminyak Beach,2
600,60386,Seminyak Beach,4
601,60806,Seminyak Beach,5
602,62669,Seminyak Beach,5
603,62669,Seminyak Beach,3
604,63924,Seminyak Beach,5
605,64592,Seminyak Beach,5
606,69192,Seminyak Beach,5
607,78225,Seminyak Beach,3
608,82897,Seminyak Beach,5
609,83635,Seminyak Beach,4
610,1625,Seminyak Beach,5
611,3272,Seminyak Beach,4
612,5960,Seminyak Beach,4
613,10581,Seminyak Beach,5
614,17964,Seminyak Beach,4
615,19501,Seminyak Beach,5
616,20650,Seminyak Beach,4
617,22065,Seminyak Beach,5
618,25165,Seminyak Beach,4
619,25546,Seminyak Beach,4
620,25963,Seminyak Beach,3
622,31747,Seminyak Beach,4
623,31859,Seminyak Beach,4
624,46651,Seminyak Beach,3
625,76980,Seminyak Beach,3
626,79617,Seminyak Beach,3
627,84549,Seminyak Beach,5
628,87135,Seminyak Beach,5
629,1335,Seminyak Beach,4
630,19368,Seminyak Beach,5
631,21906,Seminyak Beach,4
632,33855,Seminyak Beach,4
633,48928,Seminyak Beach,3
634,54065,Seminyak Beach,2
635,63140,Seminyak Beach,4
636,78554,Seminyak Beach,4
637,79402,Seminyak Beach,4
639,82961,Seminyak Beach,4
640,83466,Seminyak Beach,4
641,26189,Seminyak Beach,5
642,27531,Seminyak Beach,5
643,31478,Seminyak Beach,4
644,37567,Seminyak Beach,3
645,61416,Seminyak Beach,4
646,76449,Seminyak Beach,4
647,15075,Balekambang Beach,4
648,66133,Balekambang Beach,4
649,69181,Balekambang Beach,3
650,30269,Balekambang Beach,3
651,39880,Balekambang Beach,4
652,42144,Balekambang Beach,3
653,48922,Balekambang Beach,5
654,49369,Balekambang Beach,4
655,19315,Balekambang Beach,3
656,87240,Balekambang Beach,4
657,3736,Goa Cina Beach,4
658,11266,Goa Cina Beach,4
659,15466,Goa Cina Beach,4
660,15936,Goa Cina Beach,5
661,39790,Goa Cina Beach,3
662,19315,Goa Cina Beach,4
663,61073,Goa Cina Beach,5
664,69062,Goa Cina Beach,4
666,12610,Tanah Lot Temple,5
667,22691,Tanah Lot Temple,4
668,25070,Tanah Lot Temple,4
669,25963,Tanah Lot Temple,4
670,26333,Tanah Lot Temple,5
671,42656,Tanah Lot Temple,5
672,55651,Tanah Lot Temple,4
673,56194,Tanah Lot Temple,5
674,62628,Tanah Lot Temple,3
675,67666,Tanah Lot Temple,4
676,72258,Tanah Lot Temple,3
677,79617,Tanah Lot Temple,3
678,79742,Tanah Lot Temple,4
679,1482,Tanah Lot Temple,3
680,1798,Tanah Lot Temple,4
681,3957,Tanah Lot Temple,4
682,13699,Tanah Lot Temple,5
683,19521,Tanah Lot Temple,5
684,26533,Tanah Lot Temple,4
685,28416,Tanah Lot Temple,5
686,28467,Tanah Lot Temple,5
687,39777,Tanah Lot Temple,5
689,40035,Tanah Lot Temple,5
690,40500,Tanah Lot Temple,3
691,47600,Tanah Lot Temple,4
692,51035,Tanah Lot Temple,5
693,53085,Tanah Lot Temple,5
694,54221,Tanah Lot Temple,3
695,58107,Tanah Lot Temple,5
696,62839,Tanah Lot Temple,4
697,65162,Tanah Lot Temple,4
698,69117,Tanah Lot Temple,4
699,70663,Tanah Lot Temple,4
700,74545,Tanah Lot Temple,5
701,76601,Tanah Lot Temple,4
702,79494,Tanah Lot Temple,5
703,79600,Tanah Lot Temple,4
704,86126,Tanah Lot Temple,3
705,28328,Tanah Lot Temple,5
706,41528,Tanah Lot Temple,5
707,51396,Tanah Lot Temple,4
708,58492,Tanah Lot Temple,3
709,59774,Tanah Lot Temple,4
710,62669,Tanah Lot Temple,5
711,67040,Tanah Lot Temple,5
712,69070,Tanah Lot Temple,5
713,77808,Tanah Lot Temple,4
714,78373,Tanah Lot Temple,4
715,83466,Tanah Lot Temple,3
716,86117,Tanah Lot Temple,5
717,44270,Tanah Lot Temple,5
718,53858,Tanah Lot Temple,4
719,68096,Tanah Lot Temple,5
720,55271,Tanah Lot Temple,4
721,12610,Uluwatu Temple,4
722,13146,Uluwatu Temple,5
723,15281,Uluwatu Temple,5
724,16836,Uluwatu Temple,5
725,20999,Uluwatu Temple,4
726,21913,Uluwatu Temple,4
727,25963,Uluwatu Temple,4
728,26333,Uluwatu Temple,5
729,26533,Uluwatu Temple,5
730,26856,Uluwatu Temple,5
731,27490,Uluwatu Temple,5
733,31585,Uluwatu Temple,5
734,35755,Uluwatu Temple,4
735,41119,Uluwatu Temple,5
736,42044,Uluwatu Temple,4
737,42795,Uluwatu Temple,5
738,44176,Uluwatu Temple,4
739,46319,Uluwatu Temple,4
740,50472,Uluwatu Temple,4
741,50879,Uluwatu Temple,5
742,53585,Uluwatu Temple,5
743,54477,Uluwatu Temple,4
744,56843,Uluwatu Temple,4
745,67330,Uluwatu Temple,4
746,68647,Uluwatu Temple,1
747,69463,Uluwatu Temple,3
748,76373,Uluwatu Temple,5
749,88135,Uluwatu Temple,5
750,418,Uluwatu Temple,4
751,1625,Uluwatu Temple,4
752,2518,Uluwatu Temple,5
753,6886,Uluwatu Temple,5
754,9362,Uluwatu Temple,5
755,14937,Uluwatu Temple,5
756,15253,Uluwatu Temple,4
